import time: self [us] | cumulative | imported package
import time:       991 |        991 |                   typing_inspection.typing_objects
import time:       615 |       1711 |                 typing_inspection.introspection
import time:       126 |        126 |                 pydantic._internal
import time:       337 |        337 |                     pydantic._internal._namespace_utils
import time:       313 |        650 |                   pydantic._internal._typing_extra
import time:       225 |        875 |                 pydantic._internal._repr
import time:       300 |       3010 |               pydantic.errors
import time:       256 |      35706 |             pydantic
import time:        61 |         61 |                 pydantic._internal._internal_dataclass
import time:       800 |        861 |               pydantic.aliases
import time:       677 |        677 |               pydantic.config
import time:       207 |       1743 |             pydantic._internal._config
import time:       251 |        251 |               pydantic._internal._core_utils
import time:        81 |         81 |                 pydantic._internal._import_utils
import time:       657 |        738 |               pydantic._internal._utils
import time:      3043 |       4031 |             pydantic._internal._decorators
import time:       341 |        341 |                 pydantic._internal._forward_ref
import time:       298 |        638 |               pydantic._internal._generics
import time:       124 |        124 |               pydantic._internal._docs_extraction
import time:       230 |        991 |             pydantic._internal._fields
import time:       465 |        465 |                 pydantic.plugin
import time:       209 |        674 |               pydantic.plugin._schema_validator
import time:       216 |        889 |             pydantic._internal._mock_val_ser
import time:       102 |        102 |                   fnmatch
import time:        82 |         82 |                     urllib
import time:       881 |        881 |                     ipaddress
import time:       721 |       1683 |                   urllib.parse
import time:        66 |         66 |                     _winapi
import time:        43 |         43 |                     nt
import time:        35 |         35 |                     nt
import time:        35 |         35 |                     nt
import time:        33 |         33 |                     nt
import time:        35 |         35 |                     nt
import time:        87 |        330 |                   ntpath
import time:       574 |       2689 |                 pathlib
import time:       572 |        572 |                 fractions
import time:      1272 |       1272 |                   platform
import time:       222 |        222 |                   _uuid
import time:       307 |       1801 |                 uuid
import time:       292 |        292 |                     sysconfig
import time:       479 |        479 |                     _sysconfigdata__x86_64-linux-gnu
import time:       399 |       1169 |                   zoneinfo._tzpath
import time:       168 |        168 |                   zoneinfo._common
import time:       173 |        173 |                   _zoneinfo
import time:       141 |       1649 |                 zoneinfo
import time:       127 |        127 |                 pydantic.annotated_handlers
import time:      2410 |       2410 |                 pydantic.functional_validators
import time:       206 |        206 |                   pydantic._internal._core_metadata
import time:       127 |        127 |                   pydantic._internal._schema_generation_shared
import time:      1536 |       1868 |                 pydantic.json_schema
import time:       183 |        183 |                 pydantic._internal._discriminated_union
import time:       183 |        183 |                 pydantic._internal._known_annotated_metadata
import time:       437 |        437 |                 pydantic._internal._schema_gather
import time:       960 |      12873 |               pydantic._internal._generate_schema
import time:       129 |        129 |               pydantic._internal._signature
import time:       316 |      13318 |             pydantic._internal._model_construction
import time:      5787 |       5787 |             annotated_types
import time:       241 |        241 |             pydantic._internal._validators
import time:      4516 |       4516 |             pydantic.types
import time:        43 |         43 |                   _csv
import time:       226 |        268 |                 csv
import time:       101 |        101 |                 email
import time:       100 |        100 |                     importlib._abc
import time:        90 |        190 |                   importlib.util
import time:        59 |         59 |                     zlib
import time:       138 |        138 |                       _compression
import time:       220 |        220 |                       _bz2
import time:       184 |        540 |                     bz2
import time:       206 |        206 |                       _lzma
import time:       167 |        373 |                     lzma
import time:       533 |       1504 |                   shutil
import time:       658 |       2351 |                 zipfile
import time:       104 |        104 |                     quopri
import time:        25 |         25 |                           _bisect
import time:        83 |        107 |                         bisect
import time:        24 |         24 |                         _random
import time:        19 |         19 |                         _sha512
import time:       254 |        403 |                       random
import time:       343 |        343 |                         calendar
import time:       231 |        574 |                       email._parseaddr
import time:        74 |         74 |                         email.base64mime
import time:       136 |        136 |                         email.quoprimime
import time:       288 |        288 |                         email.errors
import time:        78 |         78 |                         email.encoders
import time:       225 |        800 |                       email.charset
import time:       312 |       2087 |                     email.utils
import time:       399 |        399 |                       email.header
import time:       212 |        610 |                     email._policybase
import time:       182 |        182 |                     email._encoded_words
import time:        89 |         89 |                     email.iterators
import time:       381 |       3451 |                   email.message
import time:        77 |         77 |                     importlib.metadata._functools
import time:       100 |        177 |                   importlib.metadata._text
import time:       196 |       3822 |                 importlib.metadata._adapters
import time:       214 |        214 |                 importlib.metadata._meta
import time:       185 |        185 |                 importlib.metadata._collections
import time:        77 |         77 |                 importlib.metadata._itertools
import time:       295 |        295 |                         tempfile
import time:       220 |        220 |                         importlib.resources.abc
import time:       191 |        191 |                         importlib.resources._adapters
import time:       189 |        893 |                       importlib.resources._common
import time:       197 |        197 |                       importlib.resources._legacy
import time:        93 |       1182 |                     importlib.resources
import time:        10 |       1192 |                   importlib.resources.abc
import time:       336 |       1527 |                 importlib.abc
import time:       851 |       9391 |               importlib.metadata
import time:       118 |       9509 |             pydantic.plugin._loader
import time:      8946 |      87550 |           claude_code_hooks_daemon.core.hook_result
import time:       846 |      99829 |         claude_code_hooks_daemon.core.acceptance_test
import time:       125 |        125 |             claude_code_hooks_daemon.constants.config
import time:       614 |        614 |             claude_code_hooks_daemon.constants.events
import time:        96 |         96 |             claude_code_hooks_daemon.constants.formatting
import time:       646 |        646 |             claude_code_hooks_daemon.constants.handlers
import time:       189 |        189 |             claude_code_hooks_daemon.constants.modes
import time:       101 |        101 |             claude_code_hooks_daemon.constants.paths
import time:        97 |         97 |             claude_code_hooks_daemon.constants.priority
import time:       123 |        123 |             claude_code_hooks_daemon.constants.protocol
import time:       132 |        132 |             claude_code_hooks_daemon.constants.tags
import time:        68 |         68 |             claude_code_hooks_daemon.constants.timeout
import time:        96 |         96 |             claude_code_hooks_daemon.constants.tools
import time:        68 |         68 |             claude_code_hooks_daemon.constants.validation
import time:       171 |       2521 |           claude_code_hooks_daemon.constants
import time:       540 |       3060 |         claude_code_hooks_daemon.core.chain
import time:       432 |        432 |         claude_code_hooks_daemon.core.cli_acceptance_test
import time:       588 |        588 |           claude_code_hooks_daemon.core.handler_history
import time:       134 |        134 |           claude_code_hooks_daemon.core.session_state
import time:       154 |        154 |                   _json
import time:       255 |        409 |                 json.scanner
import time:       280 |        688 |               json.decoder
import time:       288 |        288 |               json.encoder
import time:       238 |       1212 |             json
import time:      1569 |       2781 |           claude_code_hooks_daemon.core.transcript_reader
import time:       136 |       3637 |         claude_code_hooks_daemon.core.data_layer
import time:       111 |        111 |         claude_code_hooks_daemon.core.error_response
import time:      2737 |       2737 |         claude_code_hooks_daemon.core.event
import time:       155 |        155 |           claude_code_hooks_daemon.core.handler
import time:       135 |        135 |           claude_code_hooks_daemon.core.router
import time:       715 |        715 |             claude_code_hooks_daemon.core.project_context
import time:        82 |        796 |           claude_code_hooks_daemon.core.utils
import time:       164 |       1248 |         claude_code_hooks_daemon.core.front_controller
import time:       109 |        109 |         claude_code_hooks_daemon.core.mode
import time:      1278 |       1278 |         claude_code_hooks_daemon.core.pseudo_event
import time:       196 |     112634 |       claude_code_hooks_daemon.core
import time:        14 |     112648 |     claude_code_hooks_daemon.core.front_controller
import time:        80 |         80 |     claude_code_hooks_daemon.version
import time:       151 |     112877 |   claude_code_hooks_daemon
import time:       138 |        138 |             yaml.error
import time:       176 |        176 |             yaml.tokens
import time:       185 |        185 |             yaml.events
import time:        97 |         97 |             yaml.nodes
import time:      3017 |       3017 |               yaml.reader
import time:       239 |        239 |               yaml.scanner
import time:       154 |        154 |               yaml.parser
import time:       100 |        100 |               yaml.composer
import time:       640 |        640 |               yaml.constructor
import time:      1080 |       1080 |               yaml.resolver
import time:       220 |       5447 |             yaml.loader
import time:       268 |        268 |               yaml.emitter
import time:       115 |        115 |               yaml.serializer
import time:       183 |        183 |               yaml.representer
import time:       156 |        720 |             yaml.dumper
import time:       264 |        264 |               yaml._yaml
import time:       214 |        477 |             yaml.cyaml
import time:       238 |       7476 |           yaml
import time:       120 |       7595 |         claude_code_hooks_daemon.config.loader
import time:     11136 |      11136 |         claude_code_hooks_daemon.config.models
import time:       328 |        328 |                 pprint
import time:       105 |        105 |                       attr._compat
import time:        57 |         57 |                         unicodedata
import time:        89 |         89 |                         attr._config
import time:       150 |        150 |                           attr.exceptions
import time:        77 |        227 |                         attr.setters
import time:      3234 |       3607 |                       attr._make
import time:       131 |       3842 |                     attr.converters
import time:       102 |        102 |                     attr.filters
import time:      2883 |       2883 |                     attr.validators
import time:       115 |        115 |                     attr._cmp
import time:       104 |        104 |                     attr._funcs
import time:       205 |        205 |                     attr._next_gen
import time:       410 |        410 |                     attr._version_info
import time:       235 |       7893 |                   attr
import time:       118 |        118 |                   attrs.converters
import time:        60 |         60 |                   attrs.exceptions
import time:        53 |         53 |                   attrs.filters
import time:        48 |         48 |                   attrs.setters
import time:        53 |         53 |                   attrs.validators
import time:       173 |       8394 |                 attrs
import time:       352 |        352 |                         rpds.rpds
import time:       106 |        458 |                       rpds
import time:        91 |         91 |                         referencing._attrs
import time:      2274 |       2364 |                       referencing.exceptions
import time:       194 |        194 |                       referencing.typing
import time:      2942 |       5956 |                     referencing._core
import time:       106 |       6062 |                   referencing
import time:         8 |       6069 |                 referencing.exceptions
import time:       188 |        188 |                 jsonschema._utils
import time:       686 |      15663 |               jsonschema.exceptions
import time:        64 |         64 |               fqdn
import time:       460 |        460 |                   idna.idnadata
import time:       119 |        119 |                   idna.intranges
import time:       448 |       1027 |                 idna.core
import time:        78 |         78 |                 idna.package_data
import time:       121 |       1224 |               idna
import time:        51 |         51 |               rfc3987
import time:        39 |         39 |               rfc3986_validator
import time:        35 |         35 |               rfc3987_syntax
import time:        34 |         34 |               rfc3339_validator
import time:        39 |         39 |               webcolors
import time:        39 |         39 |               jsonpointer
import time:        36 |         36 |               uri_template
import time:        33 |         33 |               isoduration
import time:       408 |      17661 |             jsonschema._format
import time:       378 |        378 |             jsonschema._types
import time:      1060 |       1060 |                 referencing.jsonschema
import time:       128 |        128 |                 jsonschema_specifications._core
import time:       178 |        178 |                     importlib.resources._itertools
import time:       185 |        363 |                   importlib.resources.readers
import time:        81 |        443 |                 importlib.readers
import time:      2768 |       4397 |               jsonschema_specifications
import time:       215 |        215 |               jsonschema._keywords
import time:       126 |        126 |               jsonschema._legacy_keywords
import time:       128 |        128 |                 jsonschema.protocols
import time:       148 |        276 |               jsonschema._typing
import time:      2898 |       7910 |             jsonschema.validators
import time:       152 |      26099 |           jsonschema
import time:       162 |      26260 |         claude_code_hooks_daemon.config.schema
import time:       473 |        473 |           difflib
import time:       149 |        622 |         claude_code_hooks_daemon.config.validation_ux
import time:       366 |        366 |           pkgutil
import time:       162 |        162 |               claude_code_hooks_daemon.utils.guides
import time:        67 |         67 |               claude_code_hooks_daemon.utils.naming
import time:        81 |         81 |               claude_code_hooks_daemon.utils.npm
import time:        90 |         90 |               claude_code_hooks_daemon.utils.stop_hook_helpers
import time:       118 |        516 |             claude_code_hooks_daemon.utils
import time:        68 |        583 |           claude_code_hooks_daemon.utils.strict_mode
import time:       356 |       1304 |         claude_code_hooks_daemon.config.validator
import time:       103 |      47019 |       claude_code_hooks_daemon.config
import time:        12 |      47030 |     claude_code_hooks_daemon.config.models
import time:        98 |      47127 |   claude_code_hooks_daemon.daemon.config
import time:       154 |        154 |     claude_code_hooks_daemon.core.input_schemas
import time:       105 |        105 |     claude_code_hooks_daemon.daemon.memory_log_handler
import time:      1029 |       1287 |   claude_code_hooks_daemon.daemon.server
import time:        93 |     161382 | claude_code_hooks_daemon.daemon
import time:       699 |        699 |     gettext
import time:       867 |       1566 |   argparse
import time:       717 |        717 |         _hashlib
import time:        46 |         46 |         _blake2
import time:       208 |        969 |       hashlib
import time:      1323 |       2292 |     claude_code_hooks_daemon.daemon.paths
import time:        40 |         40 |         pwd
import time:       612 |        612 |         psutil._common
import time:      1722 |       1722 |         psutil._ntuples
import time:       238 |        238 |           glob
import time:       150 |        150 |           resource
import time:       447 |        447 |           psutil._psposix
import time:       154 |        154 |           psutil._psutil_linux
import time:      1412 |       2399 |         psutil._pslinux
import time:       864 |       5635 |       psutil
import time:       145 |       5780 |     claude_code_hooks_daemon.daemon.process_verification
import time:       151 |        151 |     claude_code_hooks_daemon.utils.container_detection
import time:       152 |       8373 |   claude_code_hooks_daemon.daemon.enforcement
import time:      1316 |       1316 |   claude_code_hooks_daemon.daemon.metadata
import time:       151 |        151 |   claude_code_hooks_daemon.daemon.validation
import time:       117 |        117 |   claude_code_hooks_daemon.utils.hook_registration
import time:       101 |        101 |                   tomllib._types
import time:       787 |        888 |                 tomllib._re
import time:       394 |       1281 |               tomllib._parser
import time:        88 |       1368 |             tomllib
import time:        55 |       1423 |           mdformat._compat
import time:       113 |        113 |             mdformat.plugins
import time:       279 |        391 |           mdformat._util
import time:       102 |       1915 |         mdformat._conf
import time:       125 |       2039 |       mdformat._api
import time:       102 |       2141 |     mdformat
import time:       192 |       2332 |   claude_code_hooks_daemon.utils.markdown_format
import time:       120 |        120 |   claude_code_hooks_daemon.daemon.init_config
import time:       626 |      14598 | claude_code_hooks_daemon.daemon.cli
